domain1_score,essay_set,words_count,sentence_count,avg_sentence_length,total_spelling_errors,total_sentence_errors
8,1,338,10,33,9,10
9,1,419,18,23,13,11
7,1,279,14,19,2,10
10,1,524,23,22,26,15
8,1,465,30,15,11,5
8,1,246,13,18,6,9
10,1,499,26,19,6,7
10,1,482,35,13,4,18
9,1,443,28,15,8,14
9,1,502,25,20,7,10
8,1,325,20,16,5,5
8,1,392,25,15,30,6
7,1,204,6,34,15,4
6,1,308,26,11,29,12
6,1,176,13,13,5,1
12,1,528,34,15,18,7
8,1,335,17,19,5,12
8,1,366,15,24,4,11
4,1,66,7,9,26,1
6,1,156,10,15,4,6
8,1,367,19,19,11,8
3,1,56,2,28,1,1
10,1,521,28,18,9,17
11,1,559,28,19,11,26
8,1,293,16,18,2,6
9,1,360,12,30,9,21
4,1,120,7,17,7,0
9,1,360,26,13,11,8
9,1,371,21,17,11,6
8,1,257,15,17,2,6
10,1,472,27,17,11,35
10,1,492,30,16,4,19
6,1,167,12,13,3,6
8,1,362,25,14,8,6
9,1,413,30,13,3,11
10,1,542,17,31,6,17
12,1,488,28,17,19,25
8,1,353,17,20,7,8
10,1,445,22,20,9,10
7,1,190,15,12,3,8
2,1,41,3,13,0,3
8,1,282,14,20,10,6
6,1,140,8,17,1,4
8,1,313,28,11,3,13
8,1,322,17,18,7,7
8,1,298,11,27,3,8
8,1,314,16,19,12,9
11,1,544,28,19,4,11
6,1,315,26,12,2,7
5,1,83,4,20,3,1
9,1,571,13,43,5,1
7,1,241,15,16,11,10
8,1,424,27,15,9,13
10,1,415,29,14,14,1
8,1,237,9,26,4,25
10,1,469,22,21,9,30
9,1,291,23,12,8,25
7,1,197,13,15,6,33
8,1,442,21,21,8,32
4,1,68,6,11,2,10
8,1,301,22,13,4,22
8,1,283,14,20,10,24
8,1,290,17,17,0,16
7,1,217,6,36,4,2
9,1,414,24,17,15,32
9,1,371,23,16,10,21
8,1,293,18,16,8,29
9,1,390,32,12,7,4
7,1,241,18,13,1,22
12,1,422,25,16,8,30
10,1,447,21,21,12,20
10,1,527,23,22,18,11
8,1,386,17,22,13,25
7,1,297,25,11,2,1
8,1,348,21,16,5,1
8,1,298,14,21,8,25
10,1,523,46,11,17,7
10,1,420,22,19,24,23
10,1,381,18,21,1,23
8,1,408,20,20,22,14
8,1,363,16,22,2,20
8,1,281,22,12,11,29
7,1,208,9,23,8,29
6,1,202,11,18,7,2
10,1,543,28,19,17,15
8,1,419,27,15,11,10
10,1,414,34,12,11,31
9,1,441,14,31,9,4
6,1,232,29,8,5,14
7,1,229,9,25,6,19
8,1,232,15,15,4,12
11,1,651,46,14,12,19
11,1,539,23,23,17,24
8,1,313,22,14,1,31
10,1,462,27,17,7,27
7,1,230,15,15,9,11
8,1,294,21,14,16,29
11,1,411,34,12,16,31
8,1,348,18,19,18,7
7,1,234,10,23,4,14
10,1,467,34,13,10,26
8,1,330,26,12,1,25
9,1,393,14,28,3,26
10,1,401,18,22,8,4
9,1,537,32,16,3,22
11,1,361,29,12,8,2
10,1,631,48,13,9,15
8,1,366,19,19,9,19
8,1,348,24,14,0,32
6,1,236,12,19,0,10
11,1,549,25,21,12,10
9,1,410,27,15,10,26
8,1,328,28,11,15,9
8,1,408,25,16,14,11
9,1,508,24,21,14,27
4,1,53,4,13,1,13
8,1,319,24,13,1,19
12,1,435,25,17,9,6
10,1,485,30,16,9,20
8,1,373,17,21,11,16
8,1,370,14,26,30,25
9,1,533,26,20,9,17
10,1,411,29,14,5,18
7,1,273,9,30,5,2
5,1,175,1,175,2,18
8,1,280,10,28,13,2
9,1,403,23,17,1,17
9,1,406,30,13,4,11
10,1,416,25,16,7,27
10,1,603,39,15,10,23
10,1,420,23,18,5,10
11,1,425,17,25,18,10
10,1,507,43,11,9,21
10,1,400,24,16,6,24
7,1,261,11,23,9,27
9,1,542,37,14,19,27
7,1,243,7,34,4,7
10,1,401,24,16,15,29
7,1,180,12,15,1,3
9,1,360,30,12,9,15
10,1,575,28,20,13,7
10,1,381,23,16,7,26
7,1,303,19,15,13,19
9,1,441,31,14,7,13
10,1,362,19,19,18,3
6,1,185,3,61,16,0
12,1,595,38,15,12,30
9,1,306,18,17,13,7
8,1,436,20,21,22,3
8,1,303,24,12,4,34
8,1,245,7,35,7,6
6,1,172,11,15,0,27
9,1,489,26,18,6,20
12,1,423,32,13,6,34
10,1,437,24,18,13,3
8,1,333,30,11,5,25
9,1,449,28,16,22,8
9,1,353,26,13,21,28
10,1,462,34,13,10,10
8,1,273,21,13,4,2
10,1,417,28,14,4,29
12,1,534,22,24,10,0
8,1,232,22,10,20,20
8,1,245,8,30,2,19
9,1,372,30,12,28,21
10,1,537,31,17,7,7
8,1,331,19,17,9,14
9,1,447,13,34,16,12
6,1,150,10,15,5,3
8,1,335,20,16,6,26
8,1,322,5,64,3,12
8,1,255,6,42,4,32
8,1,256,12,21,12,30
8,1,349,24,14,40,2
8,1,330,21,15,4,15
10,1,381,20,19,9,28
8,1,326,23,14,7,26
8,1,268,19,14,16,18
8,1,275,23,11,2,10
10,1,439,29,15,3,19
10,1,442,27,16,7,8
8,1,293,17,17,7,7
8,1,393,23,17,8,7
8,1,387,16,24,11,2
8,1,466,28,16,7,5
8,1,335,22,15,8,25
5,1,111,2,55,3,10
9,1,411,22,18,6,8
6,1,126,16,7,4,11
10,1,319,21,15,7,18
8,1,244,16,15,2,0
11,1,488,35,13,17,1
8,1,399,28,14,1,34
10,1,521,28,18,9,11
5,1,123,8,15,4,14
8,1,382,27,14,8,34
10,1,521,25,20,6,18
10,1,422,20,21,14,3
11,1,738,35,21,23,25
8,1,361,26,13,9,20
9,1,395,27,14,6,22
8,1,376,28,13,4,20
10,1,497,27,18,4,33
10,1,368,25,14,6,30
10,1,561,35,16,24,26
10,1,363,24,15,4,14
8,1,280,23,12,4,8
6,1,150,9,16,1,0
6,1,165,8,20,3,33
9,1,377,22,17,4,1
6,1,190,11,17,4,23
7,1,269,20,13,1,7
8,1,315,20,15,7,16
8,1,306,14,21,23,6
10,1,553,27,20,13,22
8,1,400,20,20,8,8
10,1,524,34,15,6,24
8,1,340,24,14,5,6
9,1,387,18,21,7,13
10,1,431,38,11,44,23
6,1,206,18,11,0,12
9,1,437,25,17,8,0
8,1,426,10,42,8,11
8,1,341,19,17,10,30
12,1,531,42,12,13,8
8,1,249,18,13,3,17
9,1,362,27,13,7,22
8,1,299,11,27,9,30
8,1,275,20,13,13,4
9,1,453,26,17,13,20
8,1,274,23,11,4,32
12,1,534,31,17,18,12
7,1,193,9,21,47,29
8,1,407,32,12,1,21
7,1,298,19,15,8,11
6,1,201,10,20,15,11
8,1,316,17,18,6,28
9,1,321,13,24,7,0
9,1,438,21,20,10,19
8,1,254,19,13,8,0
9,1,246,12,20,7,4
9,1,431,25,17,8,16
11,1,632,33,19,8,1
7,1,360,15,24,26,28
7,1,167,7,23,5,4
11,1,647,38,17,6,9
8,1,404,19,21,3,32
9,1,484,38,12,7,16
9,1,336,22,15,8,34
10,1,309,19,16,6,0
9,1,556,27,20,4,1
9,1,408,24,17,6,29
6,1,221,12,18,9,6
10,1,574,32,17,19,33
8,1,328,23,14,4,8
8,1,283,14,20,4,28
8,1,429,19,22,5,5
11,1,524,26,20,7,32
9,1,430,24,17,14,2
7,1,310,29,10,8,18
9,1,444,25,17,20,5
8,1,293,11,26,2,29
10,1,526,29,18,8,22
8,1,369,17,21,10,30
11,1,399,31,12,2,30
11,1,396,17,23,15,34
10,1,450,18,25,4,33
8,1,263,15,17,5,16
9,1,402,15,26,21,10
8,1,390,26,15,5,25
8,1,322,20,16,8,23
10,1,512,24,21,14,21
8,1,295,11,26,6,16
9,1,386,22,17,11,16
11,1,392,26,15,4,26
8,1,265,18,14,10,15
9,1,419,21,19,5,31
8,1,301,22,13,4,15
10,1,435,30,14,3,34
10,1,398,31,12,5,20
7,1,222,14,15,1,2
8,1,313,15,20,12,29
6,1,223,11,20,4,20
8,1,306,15,20,6,27
11,1,550,27,20,12,23
4,1,63,3,21,3,34
12,1,550,28,19,20,23
8,1,343,26,13,9,25
10,1,400,18,22,6,32
11,1,537,28,19,10,18
11,1,437,26,16,10,20
11,1,524,35,14,12,28
8,1,227,17,13,7,15
10,1,464,26,17,25,10
10,1,355,26,13,22,25
10,1,506,21,24,10,30
9,1,472,29,16,14,10
8,1,377,26,14,0,23
8,1,330,20,16,4,20
8,1,486,35,13,11,16
9,1,355,28,12,6,17
10,1,573,43,13,17,31
10,1,442,23,19,10,23
9,1,529,20,26,22,4
10,1,482,24,20,8,11
8,1,450,29,15,5,24
9,1,335,22,15,7,22
6,1,127,2,63,7,15
9,1,398,13,30,19,18
10,1,365,17,21,22,8
9,1,354,28,12,5,24
7,1,233,19,12,6,21
9,1,360,15,24,15,22
10,1,418,22,19,7,16
9,1,537,28,19,5,26
10,1,495,34,14,13,4
8,1,397,20,19,23,2
9,1,368,26,14,2,16
8,1,323,12,26,5,20
12,1,532,26,20,20,7
8,1,321,13,24,9,18
10,1,413,23,17,1,32
8,1,329,20,16,8,6
9,1,393,15,26,5,10
10,1,652,41,15,3,17
6,1,400,27,14,0,5
